Ano,UF,IMPOSTO SOBRE IMPORTAÇÃO,IMPOSTO SOBRE EXPORTAÇÃO,IPI - FUMO,IPI - BEBIDAS,IPI - AUTOMÓVEIS,IPI - VINCULADO À IMPORTACAO,IPI - OUTROS,IRPF,IRPJ - ENTIDADES FINANCEIRAS,IRPJ - DEMAIS EMPRESAS,IRRF - RENDIMENTOS DO TRABALHO,IRRF - RENDIMENTOS DO CAPITAL,IRRF - REMESSAS P/ EXTERIOR,IRRF - OUTROS RENDIMENTOS,IMPOSTO S/ OPERAÇÕES FINANCEIRAS,IMPOSTO TERRITORIAL RURAL,IMPOSTO PROVIS.S/ MOVIMENT. FINANC. - IPMF,CPMF,COFINS,COFINS - FINANCEIRAS,COFINS - DEMAIS,CONTRIBUIÇÃO PARA O PIS/PASEP,CONTRIBUIÇÃO PARA O PIS/PASEP - FINANCEIRAS,CONTRIBUIÇÃO PARA O PIS/PASEP - DEMAIS,CSLL,CSLL - FINANCEIRAS,CSLL - DEMAIS,CIDE-COMBUSTÍVEIS (parc. não dedutível),CIDE-COMBUSTÍVEIS,CONTRIBUIÇÃO PLANO SEG. SOC. SERVIDORES,CPSSS - Contrib. p/ o Plano de Segurid. Social Serv. Público,CONTRIBUICÕES PARA FUNDAF,REFIS,PAES,"RETENÇÃO NA FONTE - LEI 10.833, Art. 30",PAGAMENTO UNIFICADO,OUTRAS RECEITAS ADMINISTRADAS,DEMAIS RECEITAS,RECEITA PREVIDENCIÁRIA,RECEITA PREVIDENCIÁRIA - PRÓPRIA,RECEITA PREVIDENCIÁRIA - DEMAIS,ADMINISTRADAS POR OUTROS ÓRGÃOS
2000.0,RO,473614.0,188.0,7530165.0,0.0,24974.0,197959.0,1052455.0,9404607.0,16613.0,19646120.0,30099798.0,2443739.0,82655.0,2382680.0,93254.0,8149922.0,0.0,1051114.0,68097237.0,0.0,0.0,23767279.0,0.0,0.0,16994177.0,0.0,0.0,0.0,0.0,77631532.0,0.0,520545.0,0.0,0.0,0.0,0.0,594708.0,0.0,0.0,0.0,0.0,0.0
2000.0,RR,55851.0,33.0,3016351.0,0.0,0.0,21823.0,34210.0,3485709.0,134564.0,6135567.0,10102077.0,661647.0,49782.0,408758.0,5564.0,250737.0,0.0,48854.0,15219531.0,0.0,0.0,5452040.0,0.0,0.0,4771824.0,0.0,0.0,0.0,0.0,32993589.0,0.0,163190.0,0.0,0.0,0.0,0.0,306091.0,0.0,0.0,0.0,0.0,0.0
2000.0,RS,351389088.0,326795.0,249151529.0,128872973.0,24066409.0,221169885.0,685671081.0,273532627.0,54518770.0,743224334.0,761822472.0,238874890.0,55805060.0,134046571.0,63770511.0,25730798.0,0.0,343541562.0,2388232079.0,0.0,0.0,510111270.0,0.0,0.0,469547123.0,0.0,0.0,0.0,0.0,202567473.0,0.0,55993891.0,0.0,0.0,0.0,0.0,16765460.0,0.0,0.0,0.0,0.0,0.0
2000.0,SC,180521253.0,85219.0,93024251.0,51833380.0,125526.0,113489391.0,269110784.0,76203628.0,3133882.0,314443103.0,272594993.0,64648219.0,15312872.0,36170716.0,20958006.0,6022961.0,0.0,92499601.0,1068148522.0,0.0,0.0,247601130.0,0.0,0.0,199552734.0,0.0,0.0,0.0,0.0,99054699.0,0.0,5664706.0,0.0,0.0,0.0,0.0,5910412.0,0.0,0.0,0.0,0.0,0.0
2000.0,SE,10476611.0,105.0,11427302.0,48583569.0,0.0,5668314.0,14097084.0,24336316.0,3107761.0,27081118.0,41999624.0,6047447.0,1321915.0,4049285.0,3005362.0,736594.0,0.0,11690219.0,100229761.0,0.0,0.0,29521744.0,0.0,0.0,21169030.0,0.0,0.0,0.0,0.0,31923352.0,0.0,607838.0,0.0,0.0,0.0,0.0,682512.0,0.0,0.0,0.0,0.0,0.0
2000.0,SP,4594836933.0,485301.0,666679254.0,690983540.0,1431128353.0,2530238350.0,4395144948.0,1555939792.0,1536784468.0,7002015497.0,6948126276.0,6575151406.0,1990385923.0,906083191.0,2213293653.0,58410360.0,0.0,9331644431.0,16215876203.0,0.0,0.0,4142189208.0,0.0,0.0,4009138242.0,0.0,0.0,0.0,0.0,365363092.0,0.0,145626664.0,0.0,0.0,0.0,0.0,143951791.0,0.0,0.0,0.0,0.0,0.0
2000.0,TO,1171831.0,487.0,4513203.0,885137.0,0.0,120277.0,1095500.0,3464191.0,2275.0,8662423.0,7511081.0,179710.0,22030.0,1329380.0,18105.0,2243662.0,0.0,111962.0,36571570.0,0.0,0.0,10466411.0,0.0,0.0,7736107.0,0.0,0.0,0.0,0.0,10579671.0,0.0,677044.0,0.0,0.0,0.0,0.0,623087.0,0.0,0.0,0.0,0.0,0.0
2001.0,AC,21124.0,914962.0,3696625.0,126.0,0.0,7086.0,291740.0,4612101.0,7377.0,9597702.0,8387706.0,567920.0,7795.0,517302.0,57385.0,287084.0,0.0,1635604.0,20484334.0,0.0,0.0,9826964.0,0.0,0.0,6494304.0,0.0,0.0,0.0,0.0,14913579.0,0.0,7180.0,0.0,0.0,0.0,0.0,298516.0,0.0,0.0,0.0,0.0,0.0
2001.0,AL,10909186.0,1883156.0,14846996.0,8916828.0,150.0,4799171.0,6759301.0,19635248.0,612571.0,25297668.0,46528829.0,1955581.0,1512958.0,8673278.0,184054.0,2174215.0,0.0,1417301.0,107654695.0,0.0,0.0,31335315.0,0.0,0.0,20619871.0,0.0,0.0,0.0,0.0,44149060.0,0.0,16212.0,0.0,0.0,0.0,0.0,5181019.0,0.0,0.0,0.0,0.0,0.0
2001.0,AM,177413514.0,576.0,18178345.0,17516097.0,9140.0,38980583.0,13583752.0,25788885.0,5959327.0,179173727.0,173968361.0,12526966.0,74920733.0,17454907.0,14120170.0,501023.0,0.0,20840316.0,854217003.0,0.0,0.0,222440433.0,0.0,0.0,281668725.0,0.0,0.0,0.0,0.0,58683564.0,0.0,1199370.0,0.0,0.0,0.0,0.0,9680652.0,0.0,0.0,0.0,0.0,0.0
