Caminhos Mais Curtos:
PA -> 2008.0: 1
PA -> 2009.0: 1
PA -> 2010.0: 1
PA -> 2011.0: 1
PA -> 2012.0: 1
PA -> 2013.0: 1
PA -> 2014.0: 1
PA -> 2015.0: 1
PA -> 2016.0: 1
PA -> 2017.0: 1
PA -> 2018.0: 1
PA -> 2019.0: 1
PA -> 2020.0: 1
PA -> 2021.0: 1
PA -> 2022.0: 1
PA -> 2023.0: 1
PA -> 2024.0: 1
PA -> PI: 2
PA -> RR: 2
PA -> AC: 2
PA -> TO: 2
PA -> RJ: 2
PA -> RO: 2
PA -> RS: 2
PA -> MS: 2
PA -> PB: 2
PA -> AP: 2
PA -> DF: 2
PA -> BA: 2
PA -> PE: 2
PA -> RN: 2
PA -> ES: 2
PA -> AL: 2
PA -> MA: 2
PA -> MT: 2
PA -> PR: 2
PA -> GO: 2
PA -> SC: 2
PA -> SP: 2
PA -> AM: 2
PA -> SE: 2
PA -> MG: 2
PA -> CE: 2
PB -> PB: 0
PB -> 2000.0: 1
PB -> 2001.0: 1
PB -> 2002.0: 1
PB -> 2003.0: 1
PB -> 2004.0: 1
PB -> 2005.0: 1
PB -> 2006.0: 1
PB -> 2007.0: 1
PB -> 2008.0: 1
PB -> 2009.0: 1
PB -> 2010.0: 1
PB -> 2011.0: 1
PB -> 2012.0: 1
PB -> 2013.0: 1
PB -> 2014.0: 1
PB -> 2015.0: 1
PB -> 2016.0: 1
PB -> 2017.0: 1
PB -> 2018.0: 1
PB -> 2019.0: 1
PB -> 2020.0: 1
PB -> 2021.0: 1
PB -> 2022.0: 1
PB -> 2023.0: 1
PB -> 2024.0: 1
PB -> PA: 2
PB -> PI: 2
PB -> RR: 2
PB -> AC: 2
PB -> TO: 2
PB -> RJ: 2
PB -> RO: 2
PB -> RS: 2
PB -> MS: 2
PB -> AP: 2
PB -> DF: 2
PB -> BA: 2
PB -> PE: 2
PB -> RN: 2
PB -> ES: 2
PB -> AL: 2
PB -> MA: 2
PB -> MT: 2
PB -> PR: 2
PB -> GO: 2
PB -> SC: 2
PB -> SP: 2
PB -> AM: 2
PB -> SE: 2
PB -> MG: 2
PB -> CE: 2
PE -> PE: 0
PE -> 2000.0: 1
PE -> 2001.0: 1
PE -> 2002.0: 1
PE -> 2003.0: 1
PE -> 2004.0: 1
PE -> 2005.0: 1
PE -> 2006.0: 1
PE -> 2007.0: 1
PE -> 2008.0: 1
PE -> 2009.0: 1
PE -> 2010.0: 1
PE -> 2011.0: 1
PE -> 2012.0: 1
PE -> 2013.0: 1
PE -> 2014.0: 1
PE -> 2015.0: 1
PE -> 2016.0: 1
PE -> 2017.0: 1
PE -> 2018.0: 1
PE -> 2019.0: 1
PE -> 2020.0: 1
PE -> 2021.0: 1
PE -> 2022.0: 1
PE -> 2023.0: 1
PE -> 2024.0: 1
PE -> PA: 2
PE -> PI: 2
PE -> RR: 2
PE -> AC: 2
PE -> TO: 2
PE -> RJ: 2
PE -> RO: 2
PE -> RS: 2
PE -> MS: 2
PE -> PB: 2
PE -> AP: 2
PE -> DF: 2
PE -> BA: 2
PE -> RN: 2
PE -> ES: 2
PE -> AL: 2
PE -> MA: 2
PE -> MT: 2
PE -> PR: 2
PE -> GO: 2
PE -> SC: 2
PE -> SP: 2
PE -> AM: 2
PE -> SE: 2
PE -> MG: 2
PE -> CE: 2
PI -> PI: 0
PI -> 2000.0: 1
PI -> 2001.0: 1
PI -> 2002.0: 1
PI -> 2003.0: 1
PI -> 2004.0: 1
PI -> 2005.0: 1
PI -> 2006.0: 1
PI -> 2007.0: 1
PI -> 2008.0: 1
PI -> 2009.0: 1
PI -> 2010.0: 1
PI -> 2011.0: 1
PI -> 2012.0: 1
PI -> 2013.0: 1
PI -> 2014.0: 1
PI -> 2015.0: 1
PI -> 2016.0: 1
PI -> 2017.0: 1
PI -> 2018.0: 1
PI -> 2019.0: 1
PI -> 2020.0: 1
PI -> 2021.0: 1
PI -> 2022.0: 1
PI -> 2023.0: 1
PI -> 2024.0: 1
PI -> PA: 2
PI -> RR: 2
PI -> AC: 2
PI -> TO: 2
PI -> RJ: 2
PI -> RO: 2
PI -> RS: 2
PI -> MS: 2
PI -> PB: 2
PI -> AP: 2
PI -> DF: 2
PI -> BA: 2
PI -> PE: 2
PI -> RN: 2
PI -> ES: 2
PI -> AL: 2
PI -> MA: 2
PI -> MT: 2
PI -> PR: 2
PI -> GO: 2
PI -> SC: 2
PI -> SP: 2
PI -> AM: 2
PI -> SE: 2
PI -> MG: 2
PI -> CE: 2
PR -> PR: 0
PR -> 2000.0: 1
PR -> 2001.0: 1
PR -> 2002.0: 1
PR -> 2003.0: 1
PR -> 2004.0: 1
PR -> 2005.0: 1
PR -> 2006.0: 1
PR -> 2007.0: 1
PR -> 2008.0: 1
PR -> 2009.0: 1
PR -> 2010.0: 1
PR -> 2011.0: 1
PR -> 2012.0: 1
PR -> 2013.0: 1
PR -> 2014.0: 1
PR -> 2015.0: 1
PR -> 2016.0: 1
PR -> 2017.0: 1
PR -> 2018.0: 1
PR -> 2019.0: 1
PR -> 2020.0: 1
PR -> 2021.0: 1
PR -> 2022.0: 1
PR -> 2023.0: 1
PR -> 2024.0: 1
PR -> PA: 2
PR -> PI: 2
PR -> RR: 2
PR -> AC: 2
PR -> TO: 2
PR -> RJ: 2
PR -> RO: 2
PR -> RS: 2
PR -> MS: 2
PR -> PB: 2
PR -> AP: 2
PR -> DF: 2
PR -> BA: 2
PR -> PE: 2
PR -> RN: 2
PR -> ES: 2
PR -> AL: 2
PR -> MA: 2
PR -> MT: 2
PR -> GO: 2
PR -> SC: 2
PR -> SP: 2
PR -> AM: 2
PR -> SE: 2
PR -> MG: 2
PR -> CE: 2
RJ -> RJ: 0
RJ -> 2000.0: 1
RJ -> 2001.0: 1
RJ -> 2002.0: 1
RJ -> 2003.0: 1
RJ -> 2004.0: 1
RJ -> 2005.0: 1
RJ -> 2006.0: 1
RJ -> 2007.0: 1
RJ -> 2008.0: 1
RJ -> 2009.0: 1
RJ -> 2010.0: 1
RJ -> 2011.0: 1
RJ -> 2012.0: 1
RJ -> 2013.0: 1
RJ -> 2014.0: 1
RJ -> 2015.0: 1
RJ -> 2016.0: 1
RJ -> 2017.0: 1
RJ -> 2018.0: 1
RJ -> 2019.0: 1
RJ -> 2020.0: 1
RJ -> 2021.0: 1
RJ -> 2022.0: 1
RJ -> 2023.0: 1
RJ -> 2024.0: 1
RJ -> PA: 2
RJ -> PI: 2
RJ -> RR: 2
RJ -> AC: 2
RJ -> TO: 2
RJ -> RO: 2
RJ -> RS: 2
RJ -> MS: 2
RJ -> PB: 2
RJ -> AP: 2
RJ -> DF: 2
RJ -> BA: 2
RJ -> PE: 2
RJ -> RN: 2
RJ -> ES: 2
RJ -> AL: 2
RJ -> MA: 2
RJ -> MT: 2
RJ -> PR: 2
RJ -> GO: 2
RJ -> SC: 2
RJ -> SP: 2
RJ -> AM: 2
RJ -> SE: 2
RJ -> MG: 2
RJ -> CE: 2
RN -> RN: 0
RN -> 2000.0: 1
RN -> 2001.0: 1
RN -> 2002.0: 1
RN -> 2003.0: 1
RN -> 2004.0: 1
RN -> 2005.0: 1
RN -> 2006.0: 1
RN -> 2007.0: 1
RN -> 2008.0: 1
RN -> 2009.0: 1
RN -> 2010.0: 1
RN -> 2011.0: 1
RN -> 2012.0: 1
RN -> 2013.0: 1
RN -> 2014.0: 1
RN -> 2015.0: 1
RN -> 2016.0: 1
RN -> 2017.0: 1
RN -> 2018.0: 1
RN -> 2019.0: 1
RN -> 2020.0: 1
RN -> 2021.0: 1
RN -> 2022.0: 1
RN -> 2023.0: 1
RN -> 2024.0: 1
RN -> PA: 2
RN -> PI: 2
RN -> RR: 2
RN -> AC: 2
RN -> TO: 2
RN -> RJ: 2
RN -> RO: 2
RN -> RS: 2
RN -> MS: 2
RN -> PB: 2
RN -> AP: 2
RN -> DF: 2
RN -> BA: 2
RN -> PE: 2
RN -> ES: 2
RN -> AL: 2
RN -> MA: 2
RN -> MT: 2
RN -> PR: 2
RN -> GO: 2
RN -> SC: 2
RN -> SP: 2
RN -> AM: 2
RN -> SE: 2
RN -> MG: 2
RN -> CE: 2
RO -> RO: 0
RO -> 2000.0: 1
RO -> 2001.0: 1
RO -> 2002.0: 1
RO -> 2003.0: 1
RO -> 2004.0: 1
RO -> 2005.0: 1
RO -> 2006.0: 1
RO -> 2007.0: 1
RO -> 2008.0: 1
RO -> 2009.0: 1
RO -> 2010.0: 1
RO -> 2011.0: 1
RO -> 2012.0: 1
RO -> 2013.0: 1
RO -> 2014.0: 1
RO -> 2015.0: 1
RO -> 2016.0: 1
RO -> 2017.0: 1
RO -> 2018.0: 1
RO -> 2019.0: 1
RO -> 2020.0: 1
RO -> 2021.0: 1
RO -> 2022.0: 1
RO -> 2023.0: 1
RO -> 2024.0: 1
RO -> PA: 2
RO -> PI: 2
RO -> RR: 2
RO -> AC: 2
RO -> TO: 2
RO -> RJ: 2
RO -> RS: 2
RO -> MS: 2
RO -> PB: 2
RO -> AP: 2
RO -> DF: 2
RO -> BA: 2
RO -> PE: 2
RO -> RN: 2
RO -> ES: 2
RO -> AL: 2
RO -> MA: 2
RO -> MT: 2
RO -> PR: 2
RO -> GO: 2
RO -> SC: 2
RO -> SP: 2
RO -> AM: 2
RO -> SE: 2
RO -> MG: 2
RO -> CE: 2
RR -> RR: 0
